Index,Title,Primary Subject,Secondary Subject,Inscription,Location,Date erected,Erected by,Notes,Count
87,Hog House,Colonial/settler,,"This structure contained a number of small pens, each just large enough for housing a sow (mother hog) and her piglets. Once the baby pigs had grown to such size and strength that they needed more space and could survive somewhat on their own, the small pens would have been disassembled providing larger areas for the hogs in general. A door in the back of the building allowed the hogs to come and go as they wished. An aerial photo from the 1950s shows a well worn path to a low, wet spot in the pasture behind the shed — obviously a favorite location for all the hogs to wallow in cooling mud.","42° 11.939′ N, 83° 44.421′ W",N/A,Pittsfield Township Historical Society,,1
88,Homes of Early Lower Town Settlers,Colonial/settler,,"Lower Town has the largest number of early houses still standing in Ann Arbor. Most of the ten houses shown above were built by 1837, the year Michigan became a state. Two of them have been moved to other Ann Arbor sites and one to Henry Ford's Greenfield Village. 

Anson Brown's Exchange Block on Broadway is the oldest commercial building in town. Although Brown didn't live to see Lower Town achieve his speculative goal of becoming the bustling center of Ann Arbor, Lower Town continued to grow and to thrive for decades after his death in 1834. His wife Desire, along with her new husband Caleb Ormsby and her brother Edward L. Fuller, who had been Brown's partner, sold the lots on which some of the homes above were built. Absalom Traver and Eliza Partridge each platted new additions and joined in the rush to build the nucleus of a residential neighborhood, much of which has lasted until today. 

Many of the houses were built in the architectural styles then popular in New York State and New England, where most of the early settlers had lived. A majority of these homes were modest, standing one-and-a-half stories tall. 

They were built for neighborhood laborers, artisans, and merchants, who walked to nearby jobs and stores on Broadway or to the mills. Some worked out of their homes making shoes, weaving baskets or carpets, or building cabinets. Other homes on Pontiac, Traver, and Broadway were built as farmhouses, where owners grew fruit and raised sheep.","42° 17.309′ N, 83° 44.12′ W",2014,University of Michigan,,1
89,Hospitality on Courthouse Square,Colonial/settler,,"Streets surrounding Courthouse Square were the site of most of Ann Arbor's largest hotels from the 1830s until 1990. Cook's Hotel was the first of five that have occupied the site before you. It was followed in 1871 by the larger ""Cook House,"" a temperance hotel for 37 years. Renamed the ""Allenel"" in 1911 to honor town founder John Allen, it was demolished in 1964 to make way for the Sheraton, later the Ann Arbor Inn. The Allenel, a popular watering spot for local businessmen, politicians, and attorneys, was frequently used for banquets by local groups. It was a favorite lodging for visitors. Distinguished guests stayed in suites on the ornate top floor. The Philadelphia Orchestra stopped there during the annual May Festival. 

By 1930 many downtown hospitality businesses were owned by members of Ann Arbor's Greek community. Along Huron Street they included two lunch counters, an ice cream parlor, the Candyland sweet shop, the Allenel (owned by Angelo Poulos, who had built the Michigan Theater in 1927), and the Huron Hotel and Cafe at Fourth Avenue. At a 1933 meeting in the Allenel (attended by Archbishop Athenagoras, later Patriarch of Constantinople), local Greek leaders united to plan future construction of St. Nicholas Greek Orthodox Church on North Main. 

The coming of the automobile dramatically changed the streetscape and eventually moved most hotels to highways on the outskirts of town.","42° 16.892′ N, 83° 44.898′ W",N/A,Ann Arbor Historical Foundation,,1
90,How it Happened,Colonial/settler,,"A lot went into creating this beautiful setting on the river. In collaboration with the Southeast Michigan Resource Conservation and Development Council, the Nichols Arboretum used this project to demonstrate principles of soft engineering for stabilizing an eroding shoreline. 

After removing the concrete rubble, the slope was regraded and rock rip-rap was placed at the toe. 

Live stakes were planted through the rip-rap and a live fascine was added just above that. The dense root system of these shrubs will form a stable riverbank at the water's edge. Plantings of native prairie grasses and wild flowers in the slopes above the shrubs will keep views open while retaining the slope and enhancing wildlife habitat. 

Erosion control blankets 
Mats of straw were laid on exposed soil. They protect the soil from the eroding forces of wind and rain until vegetation growth begins. 

Seeding and plugs 
Seeds of native plants collected locally were used to cover the slope. Seedling plants, called plugs, were also used. 

Rock rip-rap 
Rough stone was placed at the bottom of the slope to dissipate the action of the river water against the shore. 

Fascines or wattling 
Bundles of cuttings were laid in a shallow trench along the lower contour of the slope. Three-quarters of the bundle was covered with soil. As the cuttings take root, they stabilize the soil. 

Live stakes 
Cuttings that are about an inch or more in thickness are used. They are driven into the lower areas of the slope both at and just above the waterline. These cuttings will take root and eventually leaf out. 

Mission statement: 
The mission of Matthaei Botanical Gardens and Nichols Arboretum is to promote environmental enjoyment, stewardship and sustainability through education, research, and interaction with the natural world.","42° 16.983′ N, 83° 43.209′ W",N/A,University of Michigan Matthaei Botanical Gardens and Nichols Arboretum.,,1
91,Hoyt Garrod Post and Family History,Colonial/settler,,"Hoyt Garrod Post loved to walk the banks of the Huron River. A graduate of the University of Michigan Law School in 1907, Hoyt spent many enjoyable hours hiking this area, canoeing and nurturing his passion for nature, gardening and the environment. One of his strongest interests was in the conservation and enjoyment of natural wooded environments . These interests were later echoed in his own award-winning gardens and natural areas. 

The Post Family 
Hoyt's tradition was carried on by his son Norris, who with wife Helen, and children Julie, Garrod, Nancy and Jeffrey, resided in Ann Arbor and became active in the Washtenaw Land Conservancy, the Nature Conservancy of Michigan and the Matthaei Bottanical Gardens. Norris spent a great deal of time developing beautiful natural areas of his own. 

Today, this area along the Huron River is still enjoyed by Hoyt Garrod Post's great grandchildren and has been preserved in the hopes that you might enjoy it too!","42° 16.415′ N, 83° 40.068′ W",N/A,Washtenaw County Parks and Recreation Commission,,1
92,Ice house,Colonial/settler,,"While this was used as the ice house for many years, this structure may have been one of the first buildings built on the farm. At one time it had a lean-to addition attached to the west side. According to Sutherland-Wilson family tradition, this may have served as the first shelter for the family. In any event, on the edge of the farmyard, the building was easy for horse-drawn wagons and sledges (heavy-duty wagons with sled runners) to access it in winter. It was then that the supply of ice needed for the balance of the year was stored here. Most of the ice wuld have been cut from the pond behind the dam in Saline. Some may have come from Mastodon Marsh, just to the southeast of the farm. The blocks of ice would have been stored in straw or sawdust to help insulate it from summer heat. From here the ice, so badly needed to prevent food from spoiling, would have been carried to the kitchen where it would have been placed in the upper section of an ice box. The lower section would have held the food. The ice block would have been replenished as needed. Imagine also, farmhands returning from the fields after working all afternoon under the blazing August sun. The east side wall of the Ice House, which would have been in the shade by that time of the day, surely was an inviting place to lean back against — absorbing the refreshing coolness of the wood which was kept cold by the dwindling supply of ice inside","42° 11.956′ N, 83° 44.437′ W",N/A,Pittsfield Township Historical Society,Reported missing,1
93,Ideation Building 1983,Colonial/settler,,"In the year 1900, the first building erected on this site was the two story office and residence of Victor C. Vaugh, M. D.

From 1905 thorugh the early part of the twentieth century the building was occupied by various Ann Arbor businesses, including a billiard parlor, a dry cleaner, a shoemaker, and a grocery store. Later tenants were dentists, physicians, a bakery, a barbershop and a drug store.

The building was destroyed by fire on February 11, 1934. Damages were estimated at $350,000. A new building was completed in 1955 and was occupied by dentists and the Collins Shop, a women's apparel store that was moved from Liberty and Maynard to make room for Jacobson's expansion. Two other apparel shops eventually replaced this store.

In 1983, Ideation, Inc. purchased and completely renovated the building and added the third floor to use as its own international headquarters. Dental offices occupy the second floor.

The retail complex on the main and lower levels is known as 222 State Plaza","42° 16.768′ N, 83° 44.457′ W",N/A,N/A,,1
94,In memory of all Veterans,Colonial/settler,,"In memory 
of all veterans 
who served our country 
in time of war 
","42° 17.589′ N, 83° 44.404′ W",N/A,N/A,,1
95,"Indian Trails, Roads, and Trains",Indigenous,Colonial/settler,"Native Americans came from the northeast down the Pontiac Trail from the east down the Broadway hill following a trail that went through what later became Plymouth, and from the southeast up the Huron River along the Potawatomi Trail from what became Ypsilanti. These trails joined at the river, followed along Allen's Creek to the bluffs of what became West Park, and from there along the Potawatomi and other trails to the western part of Michigan.

Anishinaabe includes Potawatomi, Ojibwe, and Odawa tribes who all lived in this region.

Athough Ann Arbor was first settled near Main and Huron in 1824, by 1826 Lower Town began attracting settlers. More came after the first wood bridge over the Huron River was built in 1828.

Inset photo: A joyful multitude greeted the arrival of the first train to Ann Arbor in October of 1839. Anson Brown's brother Daniel had been very influential in bringing the Michigan Central Railroad to the village. In Lower Town, Rev. Thomas Holmes, then teaching school in the Baptist meeting house on Wall Street, canceled classes to view the event. He marched his band of children to the front yard of what had been Anson Brown's home on the top of the hill overlooking the grist mill and the Exchange Block. One student later lamented, ""Why did he not take us to the station, if he wanted to give us a treat, instead of to a hill a quarter of a mile away?""","42° 17.296′ N, 83° 44.087′ W",2014,University of Michigan,,1
96,Industry and Recreation on Allen Creek,Colonial/settler,,"In 1925 King-Seeley, inventor and manufacturer of the first dash-mounted gas gauges for autos, moved into the old Krause tannery building with its tall smokestacks on Second Street (right rear). By 1940 the factory had expanded east to First Street with the five-story facility shown above. It was downtown's last factory in 2005, when the tannery wing was demolished and the remainder remodeled for housing. Allen Creek and its west-side tributaries once provided water for mills, tanneries, foundries, and breweries. The Ann Arbor Railroad, which followed the creek valley, attracted manufacturing, warehouses, and lumber and coal yards. Dean & Co., Main Street's premier grocery, had warehouses on the creek near the railroad. 

The creek also provided recreation. Early residents bathed in a ""little, octagonal, white frame building with a sharp little spire in the middle and Victorian scrolls"" that was built over the creek near the corner of West Liberty and South First. Downstream, they skated on the millpond north of Miller and First. 

In 1897 Fred Weinberg enlarged a spring-fed pond next to the creek on South Fifth Avenue at Hill Street for swimming and ice skating. In 1909 he cemented the sides and bottom of the pond and then added a high-diving tower, a giant water slide, and an indoor ice rink called Weinberg's Coliseum. In 1920 it hosted UM's first ice hockey games.","42° 16.784′ N, 83° 44.984′ W",N/A,Ann Arbor Historical Foundation,,1
97,The James Foster House of Art,Colonial/settler,,"In 1913 James and Clarice Foster attached a modern addition to their Italianate home and rooming house and moved their ""House of Art"" store from its original location on the corner of Liberty and State. The addition ""stands as peaceful and well-balanced as a Venetian palace,"" Foster wrote Emil Lorch, its designer and long-time head of the UM architecture program. 

Foster's was the premier place to buy gifts and art objects. One patron recalled, ""Everything was a treasure."" The art included paintings, frames, Rookwood pottery, imported china and brass, statuettes, jewelry, and ""rare odd things."" Furniture was sold upstairs. A popular tearoom occupied the first floor of the old house. 

After UM alumni had left town, many continued to make purchases from Foster's large mail order business. The store closed in 1941.","42° 16.778′ N, 83° 44.456′ W",N/A,Ann Arbor Historical Foundation,,1
98,John F. Kennedy Defines the Peace Corps,Colonial/settler,,"Here at 2:00 AM on October 14, 1960, John Fitzgerald Kennedy first defined the Peace Corps. He stood at the place marked by the medallion and was cheered by a large and enthusiastic student audience for the hope and promise his idea gave the world.","42° 16.504′ N, 83° 44.465′ W",N/A,N/A,,1
99,The Jonathan and Almy Lund House,Colonial/settler,,"Jonathan H. Lund brought his bride, Sarah Almy Richmond, to Ann Arbor in 1838, and they lived for seven years in a small house on Pontiac Trail. Lund first ran a dry goods store on Broadway selling everything from shoes to medicines with names like ""Hebrew Plaster,"" ""Peters Pills,"" ""Persian Pills,"" and ""Halstead Brisk Pills."" He later operated the store in partnership with Pontiac Trail neighbor David McCollum. 

Lund was also involved in local politics and was elected as trustee of the ""Lower Village"" in 1843. Two years later, he was a delegate to the Washtenaw County Whig Convention. 

The Lunds prospered. In 1845 they purchased 28 acres of land between Pontiac Trail and Traver Road, where they built a small house. Only two years later, they built a grand stucco house at 1324 Pontiac Trail on the south end of their property-one of the finest historic houses still standing in Ann Arbor (above). 

By 1850, the Lunds owned 232 acres of land in the Ann Arbor area. In that year, Jonathan Lund bought into the first paper mill built on the Huron River, producing all types of paper from writing and wrapping to cigarette rolling. He partnered with father and son Volney and Charles Chapin, and as ""Lund, Chapin & Co.,"" built another mill east of town near Dixboro in 1854. 

Ill health forced Lund to sell his business interests to the Chapins. He retired completely from the business and died shortly afterward at the age of forty-nine. 

Almy Lund sold her Pontiac Trail properties in 1863. She lived in her brother's large house on East Huron until her death in 1873.","42° 17.303′ N, 83° 44.103′ W",2014,University of Michigan,,1
100,Joseph Whiting,Colonial/settler,,"To the memory of Joseph Whiting A.M. Minister of the Gospel who after he had filled the office of president of an academy of the University of Michigan in exemplary fashion then was selected for the chair of Latin and Greek in that same university. With the unusual affection of all men, he lived fourty-five years and died on July 20, 1845. The Regents of the University as the the only thing they could do caused this monument to be erected. 
","42° 16.566′ N, 83° 44.265′ W",N/A,The Regents of the University of Michigan,,1
101,Kempf House,Architecture,Education,"Cast iron grilles in an ancient Greek floral motif highlight the frieze of this temple-front Greek Revival house. Built in 1853 for Henry D. Bennett, Secretary and Steward of the University of Michigan, it became the home and studio of local musicians Reuben H. and Pauline Widemann Kempf in 1890. Trained in Germany, Mr. Kempf (1859-1945) taught piano and organ. Mrs. Kempf (1860-1953), a graduate of the Cincinnati Conservatory, taught voice. The City of Ann Arbor purchased the house in 1969, and in 1983 it became the Kempf House Center for Local History.","42° 16.734′ N, 83° 44.654′ W",1988,"Bureau of History, Michigan Department of State",,1
102,A Landmark of Civic Pride on Courthouse Square,Architecture,Industry & Commerce,"As laid out by village founders John Allen and Elisha Rumsey in 1824, the county courthouse block was to be a spacious town square surrounded by commercial blocks. Until the 1950s, Courthouse Square hummed with the activities that made Ann Arbor the focus of civic and business life in the county. The broad green open space was the choice site for parades, public speeches, political rallies, band concerts, and community events. Many of the area's most prominent hotels, live entertainment venues, banks, eating places, saloons, and other small retail and service businesses ringed the Square. Postal, telegraph, and newspaper offices were centered here and provided communication with the outside world.","42° 16.879′ N, 83° 44.918′ W",N/A,Ann Arbor Historical Foundation,,1
103,Landscape Transformed,Parks & Recreational Areas,,"Imagine standing in this very spot 100 years ago. Do you hear gears churning in the mill behind you? In front of you is a large pond that supplies water to power the mill. In the distance cattle are grazing in a field. Over the last 180 years, the landscape you see here has been transformed.","42° 16.469′ N, 83° 40.086′ W",N/A,N/A,,1
104,The Last Deposit,Industry & Commerce,Notable Buildings,"On a hot August night in 1927 four fully loaded interurban freight cars, parked near the County Fairgrounds (out Jackson Ave., where Veterans Park is today), broke loose from their couplings and began rolling back to town. Gaining momentum with every downhill turn of the wheels, they screeched around the Jackson–Huron bend, and careened through residential areas and under the Ann Arbor Railroad viaduct over Huron St. Climbing the grade toward Main St., the freight cars lost little speed. Where the tracks made a 90-degree turn onto Main St., the cars leaped the rails at forty miles an hour and smashed into the lobby of the Farmers & Mechanics Bank.","42° 16.88′ N, 83° 44.901′ W",N/A,Ann Arbor Historical Foundation,,1
105,Law Quadrangle,Education,Architecture,"University of Michigan alumnus William W. Cook (1880, 1882law) believed that the character of the legal profession depended on the character of Law Schools, and that the character of the Law Schools forecasted the future of America. In support of this he offered to donate the funds to build adequate facilities for the Law School. His gift enabled the construction of four buildings, the Lawyers Club (1924), the John P. Cook Building (1930), named for the donor's father, the William W. Cook Legal Research Library (1931), named for the donor, and Hutchins Hall (1933), named for former Law Dean and University President Harry B. Hutchins. At the time it was the largest gift from a single individual to a state college in Michigan. Designed by noted New York architects Edward Palmer York and Philip Sawyer, the buildings were constructed of Weymouth seam-face granite in the Gothic Revival style, based on English precedents. In recognition of this unique gift, the Regents in 1937 named the entire complex the William W. Cook Quadrangle. A 1981 underground addition to the Legal Research Library was designed by Gunnar Birkerts, and named for former Law School Dean, Vice-President for Academic Affairs, and Interim President Allan Smith, and his wife Alene.","42° 16.486′ N, 83° 44.363′ W",2006,"History and Traditions Committee, Paid Advertisement; University of Michigan",,1
106,LeClair Barn,Agriculture,Settlements & Settlers,Sutherland-Wilson Farmstead Historic District Built Between 1830-1865 The LeClair Barn is named in honor of Donald and Betty LeClair founding members and long-time leaders of the Pittsfield Charter Township Historical Society and guiding force behind the preservation and restoration of the barn at Sutherland-Wilson Farmstead.,"42° 11.938′ N, 83° 44.439′ W",2015,Pittsfield Charter Township Historic District Commission,,1
107,Log Cabin,Settlements & Settlers,Agriculture,"Originally located on the north side of Geddes Road, this cabin was built in 1878 to house a visiting relative from England, but later used for storage and to house farm help.","42° 16.42′ N, 83° 40.032′ W",N/A,N/A,,1
108,Lower Level of the Barn,Agriculture,Notable Buildings,"Here cattle would have been gathered for shelter from the severe winter cold. Later, when the farm established a small dairy enterprise, Jersey cows would have been brought here from the pasture to await their turn to be milked. They would have been fed grain while they were being milked. Straw and hay from the upper part of the barn also could be thrown down to them through an opening in the floor. Three of the foundation walls (east, west, and south) are double-walls, with finished (cut) stones facing both inward and outward. The space between the inner and outer row of cut stones was filled with mortar. The rear wall (north) is only one stone thick and is not comprised of cut stones.","42° 11.931′ N, 83° 44.438′ W",N/A,Pittsfield Charter Township,,1
109,"Lower Town Parks, Recreation, and Trails",Parks & Recreational Areas,Settlements & Settlers,"Green Open Space, paths, trails, and recreational activities have always been a part of Lower Town life. In the 19th century the Huron River, nearby farms, orchards, hills, forests, creeks, and open roads were only a short walk away from what are now historic homes. The Huron River shaped an experience of dams, millrace activity, parks, ponds, walking trails, boating, fishing, and swimming. One could live and play in Lower Town with a sense being separate - oblivious to urban growth up the hill on the south side of the river.

In 1914 the Edison Company, as a part of its rebuilding of the Argo Dam, laid out a public bathing beach on the east side of the pond, above the headache to the new Argo Power Substation. The city paid for operation of the bathing beach until it bought the popular facility in 1938.

In 1916, after the new dam was finished and the pond refilled, the old canoe livery was moved directly across the pond, remodeled and enlarged. Operated as Saunders until the 1950s and then as Wirth's Canoe Livery around 1960, the interior was famous for its collection of coin-operated orchestrions, melodeons, and other antique mechanical music boxes. In 1970 the city bought the canoe livery. The Wirth building was demolished and the Park Department replaced it with Argo Park Canoe Livery, a bit upstream.","42° 17.289′ N, 83° 44.137′ W",2014,University of Michigan,,1
110,Lower Town's Flour Mills,Industry & Commerce,Settlements & Settlers,"On the site in front of you in 1860, William Sinclair built the flour mill shown above and circled in the birdseye on right. Lower Town founder Anson Brown had erected the first mill here in 1833. Brown dammed the Huron River upstream to create a millpond and raise the level of the water, which flowed down a millrace high above the river's north bank. This provided power for the flour mill, a woolen mill, a paper mill, and other Lower Town industries. Hydro power uses the energy of flowing water to do work. Water falling from a headrace creates enough force to turn the blades of the water wheels in the mill, before flowing out a tailrace to the river below. Main drive shafts transfer power from water wheels to a series of gears, shafts, pulleys, and belts that operate millstones, sifters, grist elevators, grain cleaners, and other equipment. Sinclair's earlier mill on this site was reported to have ground 800 barrels of flour weekly. Following the 1841 harvest, it shipped a record 8,112 barrels to New York via the Erie Canal. Under subsequent owners, the mill retained Sinclair's name. In 1894 the Ann Arbor Milling Company renamed it Argo Mills. Argo shared the fate of earlier mills and was consumed by fire in 1904. The owners built a small hydroelectric powerhouse on the site and sold it to Edison in 1905. Edison built their new power station here in 1914.","42° 17.32′ N, 83° 44.425′ W",N/A,DTE Energy,,1
111,Main Street in the 1890s,Industry & Commerce,Settlements & Settlers,"When this photo was taken in 1893, ""Lost in New York"" was playing at Hill's Opera House at the southwest corner of Main and Ann streets. Down the block, Charles J. Shetterly, barber, offered billiards and hot and cold baths, and students and townspeople shopped at George Wahr's popular bookstore. Other attractions on the block included the Palace Grocery, Singer Sewing Machines, two saloons, one confectioner and fruit dealer, two more billiard halls, a milliner, the Ann Arbor Argus newspaper office, and Francis Stofflet's magazine store. None of these buildings remains. Top image caption: 7 — Main St. looking south from Ann St., ca. 1893. Hill's Opera House is at right. Lower image caption: For over eighty years Hill's Opera House, later the Whitney Theatre, hosted traveling shows, dramas, musicals, vaudeville, dance, films, and lectures for the town and the university. The large public section was lavishly decorated with an Italian tile floor, red burlap walls, three handsome French candelabra, red carpets, and red leather seats. It closed in 1952.","42° 16.936′ N, 83° 44.897′ W",N/A,Ann Arbor Historical Foundation,,1
112,Main Street Shopping Expands,Industry & Commerce,,"In 1871 tavern keeper and developer Henry Binder replaced the old house on this corner with an elaborate three-story brick building. Plank sidewalks, hitching posts, dirt streets, and gas lamps were typical of the era. As downtown expanded southward, more Main Street houses were replaced by commercial blocks. Binder and his family lived on the second floor of his new building, above his ""billiard, lager, beer, and refreshment saloon."" The hall on the third floor had an orchestrion, a large music box that played several instruments.","42° 16.769′ N, 83° 44.908′ W",N/A,Ann Arbor Historical Foundation,,1
113,The Main Street Shopping Experience,Industry & Commerce,Settlements & Settlers,"Founded in 1860, Mack & Company grew to be Ann Arbor’s largest department store. In 1870 it advertised dress goods, household goods, flannels, shawls and cloakings, “selling everything cheap.” By 1900 it had become Main Street’s premier shopping destination, wooing customers with promises of first class service. In the 1920s shoppers could visit Mack’s post office, bank, beauty shop, and pharmacy, enjoy an occasional fashion show or sing along while a pianist played sheet music for sale. Christmas at Mack’s meant elaborate store window displays, a huge decorated tree on a revolving musical stand and the largest toy selection in town. Overwhelmed by the 1930s Depression, Mack closed with its final sale in 1939.

Main Street was the shopping center for the town and surrounding countryside. Businesses were locally owned, sometimes by families who lived above the shop. In early years goods were often custom made on the premises. An 1870s shopper could buy ""live geese feathers,"" fresh oysters, smoked haddock, coal, traveling trunks, caskets, and even a “wooden, cogwheel clothes wringer.""

In the nineteenth century farm families and townsfolk might combine shopping on Main Street with a visit to Hangsterfer’s Hall or Hill’s Opera House, or in the twentieth century to the Whitney, Orpheum, and Wuerth movie theaters.","42° 16.769′ N, 83° 44.912′ W",2001,Ann Arbor Historic District Commission,,1
114,The Making of a Great University,Education,,"When classes began in 1841, Mason Hall housed classrooms, a chapel, a library, a museum, and dormitory rooms. Two professors taught thirteen students Greek, Latin, mathematics, and rhetoric. South College, a second classroom-dormitory block, was added in 1849.

Henry P. Tappan, UM's first president (1852-1863), envisioned a great university that would make Ann Arbor “a new Athens.” An early advocate of scientific research and the practical use of knowledge, he added an observatory, a chemical laboratory, and a law building. Affirming UM's nonsectarian nature, he recruited intellectually distinguished young men to join the existing faculty of Protestant clergymen. He ridiculed providing “vast dormitories for the night's sleep, instead of creating libraries and laboratories for the day's work.” After 1858 students lived in rooming houses. Briefly, after the Civil War, UM was the nation's largest university with 32 professors and more than 1,200 students, over half in medicine and law.

Tappan's vision was advanced by James B. Angell, who added over 30 buildings during his presidency (1871-1909). Latin and Greek were no longer required, seminar teaching was introduced, and laboratories and clinical teaching expanded. Colleges, schools, and departments evolved: Dentistry and Homeopathic Medicine 1875, Pharmacy 1876, Engineering 1895, and Forestry 1903. Angell staunchly supported coeducation. Foreign student enrollment rose, especially from China, after Angell's two years there as U.S. minister.","42° 16.546′ N, 83° 44.454′ W",N/A,N/A,,1
115,Manufacturing in Lower Town: The Ann Arbor Agricultural Works,Architecture,Industry & Commerce,"Manufacturing shaped the life of Lower Town after the Civil War. In 1866 Lewis Moore and his son Eli began building an agricultural implement factory on the north bank of the river on the site of the old Chapin Paper Mill. By 1896 the Ann Arbor Agricultural Works covered three acres and was one of the largest employers in town.

Up to 100 men manufactured agricultural implements including the Advance Hay Tedder, Advance Iron Mower, Advance Sulky Rake, Advance Chilled Plow, and the Improved Cummings and Clipper Food Cutter.

After the works closed in 1903, it reopened as the Ann Arbor Machine Co., manufacturing hay presses sold throughout the United States and Canada.","42° 17.271′ N, 83° 44.097′ W",2014,"Ann Arbor Historical Foundation, University of Michigan",,1
116,Martha Cook Building,Architecture,Education,"Side 1: The Martha Cook Building first housed women students of the University of Michigan in 1915. New York lawyer William W. Cook, a Michigan alumnus, donated the building. The Collegiate Gothic residence was named for Cook's mother, Martha W. Cook. New York architects York and Sawyer designed this building as well as the university Law Quadrangle.

Side 2: A statue of Portia, the heroine of Shakespeare's The Merchant of Venice, stands above the entrance. Gothic groin vaults frame the ground floor hallway, which houses a full-sized marble replica of the Venus de Milo.","42° 16.492′ N, 83° 44.278′ W",1990,"Bureau of History, Michigan Department of State",,1
117,McDivitt-White Plaza,Air & Space,,"James A. McDivitt, Jr. (BSE AeroE '59, Hon PhD Astro Sci '65)

Edward H. White, II (MSE AeroE '59, Hon PhD Astro Sci '65)

On June 8, 1965, during their second orbit around Earth, command pilot James A. McDivitt controlled the spacecraft Gemini IV as Edward H. White became the first American to walk in space.

Brigadier General McDivitt again made space history in 1969 as commander of Apollo IX which included the first test of the Lunar Module in Earth orbit. He went on to direct the NASA Apollo Spacecraft Program for Apollo flights 12, 13, 14, 15, and 16. Lieutenant Colonel White died in the 1967 Apollo I launch pad fire.

In tribute to the U-M alumni and former city residents whose ""successful completion of their mission has been a rallying point of the nation,"" the City of Ann Arbor dedicated this location to McDivitt and White on June 14, 1965.","42° 16.51′ N, 83° 44.152′ W",1965,City of Ann Arbor,,1
118,A Meeting Place for Ann Arbor's Black Community,African Americans,Industry & Commerce,"In 1921 the Colored Welfare League bought the Kayser Block on North Fourth Ave. and used it as a center to help settle black workers who migrated to Ann Arbor in the 1920s. It gradually became an African American community center and a gathering place for social and fraternal groups. It was also used for commercial undertakings and as a residence.

The Greek Revival building on the northwest corner of Ann St. and Fourth Ave. was Ann Arbor's fourth post office from 1841 to 1853. Early abolitionist meetings were held on the second floor. It later served as a flour and seed store, a bakery, and a confectionery before being demolished in 1930 to make way for a gas station.

Built in 1899, the Kayser Block was used as a hotel through World War I, often with black management. Used by the Colored Welfare League, it was the first home for the Dunbar Center (1923–26), which later evolved into the Ann Arbor Community Center on Main St.","42° 16.936′ N, 83° 44.895′ W",N/A,Ann Arbor Historical Foundation,,1
119,Michigan Becomes a State,Political Subdivisions,Settlements & Settlers,"On this site, in 1836, delegates from all parts of Michigan met in Washtenaw County's first courthouse to consider a proposal by Congress for settling the boundary dispute between Michigan and Ohio. Both claimed a narrow strip of land, including the present city of Toledo. Congress proposed giving the greater part of the Upper Peninsula to Michigan while awarding the ""Toledo Strip"" to Ohio.

In September, the first ""Convention of Assent"" rejected this proposal. Support for the plan increased, and a second meeting was called. On a bitterly cold December 14, the famous ""Frostbitten Convention"" gave its assent to the Congressional plan. This action cleared the way for the admission of Michigan as a state into the Union on January 26, 1837.","42° 16.892′ N, 83° 44.888′ W",1966,Michigan Historical Commission,,1
120,Michigan Central Railroad Depot,Architecture,Railroads & Streetcars,"Built in 1886, and conceived by Frederick Spier, the design of this granite block building was influenced by the Romanesque style of the great American architect Henry Hobson Richardson. The massive arch and two-foot thick walls are balanced by simple precise detailing. Carefully preserved, this depot is a symbol of the elegance and vitality of nineteenth century rail transportation.","42° 17.228′ N, 83° 44.5′ W",1976,"Michigan History Division, Department of State",,1
121,Michigan Chapter of the Scabbard and Blade,Military,Fraternal or Sororal Organizations,"Michigan Chapter Scabbard And Blade F Co., 4th Regiment Founded March 5th, 1923 By K.S. Andersson • V.S. Firestone • W.A. Brice • M.J. Hinkley • C. Crawford • M.M. Maddin • D.W. Dressler • A.H. Robins • G. Strache","42° 16.652′ N, 83° 44.294′ W",N/A,N/A,,1
122,Michigan League,Education,Architecture,"In 1890 a group of women students, alumni, and faculty wives formed the Women's League organization for the promotion of social integration among university and community women. The Women's League was instrumental in the campaign for Barbour Gymnasium (1896), and the acquisition of Palmer Field (1908). In 1912, under the guidance of the Alumnae Council, the League began a one million dollar fund-raising campaign for a building which would be the center for women's social, cultural and recreational activities on campus. By 1927, the funds had been raised and a site provided by the regents. Designed by Chicago architects and University alumni Irving and Allen Pond, the Michigan League was completed in 1929, and included the Lydia Mendelssohn Theater. In 1930, the Alumnae Council deeded the building to the university, which appointed a Board of Governors to oversee the facility.","42° 16.757′ N, 83° 44.284′ W",2004,"History and Traditions Committee, University of Michigan",,1
123,Michigan Municipal League,Political Subdivisions,,"In September 1899 Michigan mayors--led by William Baum Sr., of Saginaw, and George Perry of Grand Rapids--formed the Michigan Municipal League in Grand Rapids, to help local governments deal with increased demands from population growth and new technology. By joining forces through the league, municipalities are able to assist each other by sharing information and providing educational programs and publications aimed at effective local government.","42° 17.846′ N, 83° 41.609′ W",1992,"Bureau of History, Michigan Department of State",,1
